Channel_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,30,61
Partner Integration - Organic,1893,3012,3827,4611,5684,6995,7419,7848,8163,8479,8754,8980,9208,9465,9693,12476,17714
Affiliate,3029,3433,3721,3952,4175,4347,4451,4633,4796,4954,5173,5310,5428,5523,5634,7087,8896
Display,10279,17513,25512,33701,42825,51835,58961,68163,78915,95807,115672,133999,142989,150139,156006,244709,372496
Unassigned,16623,36090,45150,54518,61337,65297,67622,71062,74512,79294,81794,83072,84612,86012,87361,103860,136632
epn,17367,42827,195200,298682,386331,464946,541391,601426,654007,702493,748204,792280,835159,876567,911012,1358468,1896516
Paid Social,22548,42759,60628,76180,90458,104131,113702,126550,137106,147663,157951,168333,177998,188573,195889,331193,565501
Social Media,34652,53137,68350,81739,94098,105550,113787,123208,132362,141066,149211,156955,165170,172353,179424,277405,422244
marketing_emails,92881,171374,230975,280138,326060,363203,405900,439511,468151,492938,519395,546309,568895,592027,611164,843765,1121075
Partner Integration,127569,147206,160009,169847,178961,186335,190351,196561,201907,206774,211395,215632,219640,223970,227924,278436,357684
Paid Search,326478,438655,531015,613566,689785,759421,806850,865371,918184,969067,1018575,1066554,1110999,1155545,1194842,1657815,2274740
site_emails,506191,814693,1025625,1188389,1317295,1429222,1507715,1572121,1641114,1710573,1775556,1835300,1893017,1934692,1970828,2486307,2961259
Natural Search,758424,1004502,1177373,1312188,1424550,1519720,1586286,1662887,1729186,1790857,1846433,1899431,1949177,1996246,2038256,2496233,2925420
